accuracy_mean,f1_mean,f1_sd,metric_seeds,n,prediction_seeds,split,study
0.6838666666666665,0.6818797103069318,0.007656176950743078,3,736,3,test,phobert-base/phobert-caption
0.5892333333333334,0.5654858633864678,0.004881902673460348,3,736,3,test,phobert-base/phobert-ocr
0.7033666666666667,0.7004997293376428,0.012469726369982568,3,736,3,test,phobert-base/phobert-caption-ocr
0.6802666666666667,0.6723545388156822,0.013886290798732463,3,736,3,test,dt4mid/dt4mid-caption
0.6739,0.671688379809563,0.00829730810788951,3,736,3,test,dt4mid/dt4mid-caption-ocr
0.6644,0.6095612674294647,0.0036108892247981206,3,291,3,source_test,platform/phobert-facebook-source
0.48616666666666664,0.4776989031410497,0.04388240371573512,3,445,3,target_test,platform/phobert-facebook-source
0.6951,0.6070508708131898,0.021024774855207373,3,445,3,source_test,platform/phobert-threads-source
0.5292,0.5244944414655689,0.04749942685352624,3,291,3,target_test,platform/phobert-threads-source
0.6861333333333334,0.530869090635539,0.08630767396472469,3,291,3,source_test,platform/dt4mid-facebook-source
0.34380000000000005,0.3158604209434646,0.08620732680988034,3,445,3,target_test,platform/dt4mid-facebook-source
0.6561666666666667,0.5974955517397237,0.04773254930779976,3,445,3,source_test,platform/dt4mid-threads-source
0.5028666666666667,0.4772944097349745,0.03699112196326681,3,291,3,target_test,platform/dt4mid-threads-source
