n,negative,ocr,positive,source,split
5884,3305,all,2579,all,train
3969,2174,present,1795,all,train
1915,1131,absent,784,all,train
2322,763,all,1559,facebook,train
1605,585,present,1020,facebook,train
717,178,absent,539,facebook,train
3562,2542,all,1020,threads,train
2364,1589,present,775,threads,train
1198,953,absent,245,threads,train
735,413,all,322,all,dev
486,271,present,215,all,dev
249,142,absent,107,all,dev
286,94,all,192,facebook,dev
191,73,present,118,facebook,dev
95,21,absent,74,facebook,dev
449,319,all,130,threads,dev
295,198,present,97,threads,dev
154,121,absent,33,threads,dev
736,414,all,322,all,test
486,271,present,215,all,test
250,143,absent,107,all,test
291,98,all,193,facebook,test
205,81,present,124,facebook,test
86,17,absent,69,facebook,test
445,316,all,129,threads,test
281,190,present,91,threads,test
164,126,absent,38,threads,test
