axis,fn,fnr,fp,fpr,n,negative,positive,seed,split,study,value
all,103,0.3198757763975155,133,0.321256038647343,736,414,322,42,test,phobert-base/phobert-caption,all
combo,0,,117,0.30952380952380953,378,378,0,42,test,phobert-base/phobert-caption,000
ocr,78,0.3627906976744186,94,0.34686346863468637,486,271,215,42,test,phobert-base/phobert-caption,True
source,21,0.10880829015544041,72,0.7346938775510204,291,98,193,42,test,phobert-base/phobert-caption,facebook
combo,37,0.43023255813953487,0,,86,0,86,42,test,phobert-base/phobert-caption,101
ocr,25,0.2336448598130841,39,0.2727272727272727,250,143,107,42,test,phobert-base/phobert-caption,False
source,82,0.6356589147286822,61,0.1930379746835443,445,316,129,42,test,phobert-base/phobert-caption,threads
combo,9,0.14285714285714285,0,,63,0,63,42,test,phobert-base/phobert-caption,011
combo,8,0.6153846153846154,0,,13,0,13,42,test,phobert-base/phobert-caption,111
combo,49,0.30625,0,,160,0,160,42,test,phobert-base/phobert-caption,001
combo,0,,6,0.6,10,10,0,42,test,phobert-base/phobert-caption,010
combo,0,,10,0.38461538461538464,26,26,0,42,test,phobert-base/phobert-caption,100
all,106,0.32919254658385094,129,0.3115942028985507,736,414,322,123,test,phobert-base/phobert-caption,all
combo,0,,114,0.30158730158730157,378,378,0,123,test,phobert-base/phobert-caption,000
ocr,80,0.37209302325581395,95,0.3505535055350554,486,271,215,123,test,phobert-base/phobert-caption,True
source,26,0.13471502590673576,67,0.6836734693877551,291,98,193,123,test,phobert-base/phobert-caption,facebook
combo,39,0.45348837209302323,0,,86,0,86,123,test,phobert-base/phobert-caption,101
ocr,26,0.24299065420560748,34,0.23776223776223776,250,143,107,123,test,phobert-base/phobert-caption,False
source,80,0.6201550387596899,62,0.1962025316455696,445,316,129,123,test,phobert-base/phobert-caption,threads
combo,12,0.19047619047619047,0,,63,0,63,123,test,phobert-base/phobert-caption,011
combo,8,0.6153846153846154,0,,13,0,13,123,test,phobert-base/phobert-caption,111
combo,47,0.29375,0,,160,0,160,123,test,phobert-base/phobert-caption,001
combo,0,,6,0.6,10,10,0,123,test,phobert-base/phobert-caption,010
combo,0,,9,0.34615384615384615,26,26,0,123,test,phobert-base/phobert-caption,100
all,87,0.2701863354037267,140,0.33816425120772947,736,414,322,2026,test,phobert-base/phobert-caption,all
combo,0,,124,0.328042328042328,378,378,0,2026,test,phobert-base/phobert-caption,000
ocr,68,0.31627906976744186,96,0.35424354243542433,486,271,215,2026,test,phobert-base/phobert-caption,True
source,21,0.10880829015544041,67,0.6836734693877551,291,98,193,2026,test,phobert-base/phobert-caption,facebook
combo,24,0.27906976744186046,0,,86,0,86,2026,test,phobert-base/phobert-caption,101
ocr,19,0.17757009345794392,44,0.3076923076923077,250,143,107,2026,test,phobert-base/phobert-caption,False
source,66,0.5116279069767442,73,0.2310126582278481,445,316,129,2026,test,phobert-base/phobert-caption,threads
combo,14,0.2222222222222222,0,,63,0,63,2026,test,phobert-base/phobert-caption,011
combo,7,0.5384615384615384,0,,13,0,13,2026,test,phobert-base/phobert-caption,111
combo,42,0.2625,0,,160,0,160,2026,test,phobert-base/phobert-caption,001
combo,0,,4,0.4,10,10,0,2026,test,phobert-base/phobert-caption,010
combo,0,,12,0.46153846153846156,26,26,0,2026,test,phobert-base/phobert-caption,100
all,182,0.5652173913043478,125,0.30193236714975846,736,414,322,42,test,phobert-base/phobert-ocr,all
combo,0,,104,0.2751322751322751,378,378,0,42,test,phobert-base/phobert-ocr,000
ocr,75,0.3488372093023256,125,0.4612546125461255,486,271,215,42,test,phobert-base/phobert-ocr,True
source,104,0.538860103626943,55,0.5612244897959183,291,98,193,42,test,phobert-base/phobert-ocr,facebook
combo,54,0.627906976744186,0,,86,0,86,42,test,phobert-base/phobert-ocr,101
ocr,107,1.0,0,0.0,250,143,107,42,test,phobert-base/phobert-ocr,False
source,78,0.6046511627906976,70,0.22151898734177214,445,316,129,42,test,phobert-base/phobert-ocr,threads
combo,10,0.15873015873015872,0,,63,0,63,42,test,phobert-base/phobert-ocr,011
combo,7,0.5384615384615384,0,,13,0,13,42,test,phobert-base/phobert-ocr,111
combo,111,0.69375,0,,160,0,160,42,test,phobert-base/phobert-ocr,001
combo,0,,10,1.0,10,10,0,42,test,phobert-base/phobert-ocr,010
combo,0,,11,0.4230769230769231,26,26,0,42,test,phobert-base/phobert-ocr,100
all,201,0.6242236024844721,100,0.24154589371980675,736,414,322,123,test,phobert-base/phobert-ocr,all
combo,0,,83,0.21957671957671956,378,378,0,123,test,phobert-base/phobert-ocr,000
ocr,94,0.4372093023255814,100,0.36900369003690037,486,271,215,123,test,phobert-base/phobert-ocr,True
source,110,0.5699481865284974,49,0.5,291,98,193,123,test,phobert-base/phobert-ocr,facebook
combo,62,0.7209302325581395,0,,86,0,86,123,test,phobert-base/phobert-ocr,101
ocr,107,1.0,0,0.0,250,143,107,123,test,phobert-base/phobert-ocr,False
source,91,0.7054263565891473,51,0.16139240506329114,445,316,129,123,test,phobert-base/phobert-ocr,threads
combo,11,0.1746031746031746,0,,63,0,63,123,test,phobert-base/phobert-ocr,011
combo,8,0.6153846153846154,0,,13,0,13,123,test,phobert-base/phobert-ocr,111
combo,120,0.75,0,,160,0,160,123,test,phobert-base/phobert-ocr,001
combo,0,,10,1.0,10,10,0,123,test,phobert-base/phobert-ocr,010
combo,0,,7,0.2692307692307692,26,26,0,123,test,phobert-base/phobert-ocr,100
all,189,0.5869565217391305,110,0.26570048309178745,736,414,322,2026,test,phobert-base/phobert-ocr,all
combo,0,,90,0.23809523809523808,378,378,0,2026,test,phobert-base/phobert-ocr,000
ocr,82,0.3813953488372093,110,0.4059040590405904,486,271,215,2026,test,phobert-base/phobert-ocr,True
source,105,0.5440414507772021,55,0.5612244897959183,291,98,193,2026,test,phobert-base/phobert-ocr,facebook
combo,60,0.6976744186046512,0,,86,0,86,2026,test,phobert-base/phobert-ocr,101
ocr,107,1.0,0,0.0,250,143,107,2026,test,phobert-base/phobert-ocr,False
source,84,0.6511627906976745,55,0.17405063291139242,445,316,129,2026,test,phobert-base/phobert-ocr,threads
combo,7,0.1111111111111111,0,,63,0,63,2026,test,phobert-base/phobert-ocr,011
combo,8,0.6153846153846154,0,,13,0,13,2026,test,phobert-base/phobert-ocr,111
combo,114,0.7125,0,,160,0,160,2026,test,phobert-base/phobert-ocr,001
combo,0,,10,1.0,10,10,0,2026,test,phobert-base/phobert-ocr,010
combo,0,,10,0.38461538461538464,26,26,0,2026,test,phobert-base/phobert-ocr,100
all,80,0.2484472049689441,150,0.36231884057971014,736,414,322,42,test,phobert-base/phobert-caption-ocr,all
combo,0,,131,0.34656084656084657,378,378,0,42,test,phobert-base/phobert-caption-ocr,000
ocr,47,0.2186046511627907,124,0.4575645756457565,486,271,215,42,test,phobert-base/phobert-caption-ocr,True
