experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
ocr/dt4mid-caption,0,,34,0.5,True,0,caption,0,dt4mid-phobert,68,0,123,facebook,test,68,0
ocr/dt4mid-caption,16,0.8888888888888888,0,,False,0,caption,1,dt4mid-phobert,0,18,123,threads,test,18,1
ocr/dt4mid-caption,11,0.21153846153846154,0,,True,1,caption,1,dt4mid-phobert,0,52,123,facebook,test,52,0
ocr/dt4mid-caption,0,,17,0.09883720930232558,True,0,caption,0,dt4mid-phobert,172,0,123,threads,test,172,0
ocr/dt4mid-caption,0,,8,0.06557377049180328,False,0,caption,0,dt4mid-phobert,122,0,123,threads,test,122,0
ocr/dt4mid-caption,0,,15,0.9375,False,0,caption,0,dt4mid-phobert,16,0,123,facebook,test,16,0
ocr/dt4mid-caption,1,0.3333333333333333,0,,True,1,caption,1,dt4mid-phobert,0,3,123,facebook,test,3,1
ocr/dt4mid-caption,21,0.4117647058823529,0,,True,0,caption,1,dt4mid-phobert,0,51,123,facebook,test,51,0
ocr/dt4mid-caption,10,0.20408163265306123,0,,False,0,caption,1,dt4mid-phobert,0,49,123,facebook,test,49,0
ocr/dt4mid-caption,31,0.775,0,,True,0,caption,1,dt4mid-phobert,0,40,123,threads,test,40,0
ocr/dt4mid-caption,29,0.8787878787878788,0,,True,0,caption,1,dt4mid-phobert,0,33,123,threads,test,33,1
ocr/dt4mid-caption,0,,1,0.3333333333333333,True,1,caption,0,dt4mid-phobert,3,0,123,threads,test,3,0
ocr/dt4mid-caption,17,0.85,0,,False,0,caption,1,dt4mid-phobert,0,20,123,threads,test,20,0
ocr/dt4mid-caption,1,0.058823529411764705,0,,False,0,caption,1,dt4mid-phobert,0,17,123,facebook,test,17,1
ocr/dt4mid-caption,5,0.45454545454545453,0,,True,1,caption,1,dt4mid-phobert,0,11,123,threads,test,11,0
ocr/dt4mid-caption,6,0.3333333333333333,0,,True,0,caption,1,dt4mid-phobert,0,18,123,facebook,test,18,1
ocr/dt4mid-caption,0,,3,0.2,True,0,caption,0,dt4mid-phobert,15,0,123,threads,test,15,1
ocr/dt4mid-caption,0,,4,0.5714285714285714,True,1,caption,0,dt4mid-phobert,7,0,123,facebook,test,7,0
ocr/dt4mid-caption,6,0.8571428571428571,0,,True,1,caption,1,dt4mid-phobert,0,7,123,threads,test,7,1
ocr/dt4mid-caption,0,,3,0.5,True,0,caption,0,dt4mid-phobert,6,0,123,facebook,test,6,1
ocr/dt4mid-caption,0,0.0,0,,False,1,caption,1,dt4mid-phobert,0,3,123,facebook,test,3,1
ocr/dt4mid-caption,0,,0,0.0,False,0,caption,0,dt4mid-phobert,4,0,123,threads,test,4,1
ocr/dt4mid-caption,0,,0,0.0,False,0,caption,0,dt4mid-phobert,1,0,123,facebook,test,1,1
ocr/dt4mid-caption,0,,44,0.6470588235294118,True,0,caption,0,dt4mid-phobert,68,0,2026,facebook,test,68,0
ocr/dt4mid-caption,16,0.8888888888888888,0,,False,0,caption,1,dt4mid-phobert,0,18,2026,threads,test,18,1
ocr/dt4mid-caption,4,0.07692307692307693,0,,True,1,caption,1,dt4mid-phobert,0,52,2026,facebook,test,52,0
ocr/dt4mid-caption,0,,28,0.16279069767441862,True,0,caption,0,dt4mid-phobert,172,0,2026,threads,test,172,0
ocr/dt4mid-caption,0,,7,0.05737704918032787,False,0,caption,0,dt4mid-phobert,122,0,2026,threads,test,122,0
ocr/dt4mid-caption,0,,15,0.9375,False,0,caption,0,dt4mid-phobert,16,0,2026,facebook,test,16,0
ocr/dt4mid-caption,1,0.3333333333333333,0,,True,1,caption,1,dt4mid-phobert,0,3,2026,facebook,test,3,1
ocr/dt4mid-caption,10,0.19607843137254902,0,,True,0,caption,1,dt4mid-phobert,0,51,2026,facebook,test,51,0
ocr/dt4mid-caption,6,0.12244897959183673,0,,False,0,caption,1,dt4mid-phobert,0,49,2026,facebook,test,49,0
ocr/dt4mid-caption,27,0.675,0,,True,0,caption,1,dt4mid-phobert,0,40,2026,threads,test,40,0
ocr/dt4mid-caption,22,0.6666666666666666,0,,True,0,caption,1,dt4mid-phobert,0,33,2026,threads,test,33,1
ocr/dt4mid-caption,0,,1,0.3333333333333333,True,1,caption,0,dt4mid-phobert,3,0,2026,threads,test,3,0
ocr/dt4mid-caption,18,0.9,0,,False,0,caption,1,dt4mid-phobert,0,20,2026,threads,test,20,0
ocr/dt4mid-caption,1,0.058823529411764705,0,,False,0,caption,1,dt4mid-phobert,0,17,2026,facebook,test,17,1
ocr/dt4mid-caption,5,0.45454545454545453,0,,True,1,caption,1,dt4mid-phobert,0,11,2026,threads,test,11,0
ocr/dt4mid-caption,4,0.2222222222222222,0,,True,0,caption,1,dt4mid-phobert,0,18,2026,facebook,test,18,1
ocr/dt4mid-caption,0,,1,0.06666666666666667,True,0,caption,0,dt4mid-phobert,15,0,2026,threads,test,15,1
ocr/dt4mid-caption,0,,6,0.8571428571428571,True,1,caption,0,dt4mid-phobert,7,0,2026,facebook,test,7,0
ocr/dt4mid-caption,5,0.7142857142857143,0,,True,1,caption,1,dt4mid-phobert,0,7,2026,threads,test,7,1
ocr/dt4mid-caption,0,,4,0.6666666666666666,True,0,caption,0,dt4mid-phobert,6,0,2026,facebook,test,6,1
ocr/dt4mid-caption,0,0.0,0,,False,1,caption,1,dt4mid-phobert,0,3,2026,facebook,test,3,1
ocr/dt4mid-caption,0,,1,0.25,False,0,caption,0,dt4mid-phobert,4,0,2026,threads,test,4,1
ocr/dt4mid-caption,0,,0,0.0,False,0,caption,0,dt4mid-phobert,1,0,2026,facebook,test,1,1
ocr/dt4mid-caption,0,,52,0.7647058823529411,True,0,caption,0,dt4mid-phobert,68,0,42,facebook,test,68,0
ocr/dt4mid-caption,17,0.9444444444444444,0,,False,0,caption,1,dt4mid-phobert,0,18,42,threads,test,18,1
ocr/dt4mid-caption,3,0.057692307692307696,0,,True,1,caption,1,dt4mid-phobert,0,52,42,facebook,test,52,0
ocr/dt4mid-caption,0,,45,0.2616279069767442,True,0,caption,0,dt4mid-phobert,172,0,42,threads,test,172,0
ocr/dt4mid-caption,0,,14,0.11475409836065574,False,0,caption,0,dt4mid-phobert,122,0,42,threads,test,122,0
ocr/dt4mid-caption,0,,15,0.9375,False,0,caption,0,dt4mid-phobert,16,0,42,facebook,test,16,0
ocr/dt4mid-caption,2,0.6666666666666666,0,,True,1,caption,1,dt4mid-phobert,0,3,42,facebook,test,3,1
ocr/dt4mid-caption,8,0.1568627450980392,0,,True,0,caption,1,dt4mid-phobert,0,51,42,facebook,test,51,0
ocr/dt4mid-caption,2,0.04081632653061224,0,,False,0,caption,1,dt4mid-phobert,0,49,42,facebook,test,49,0
ocr/dt4mid-caption,19,0.475,0,,True,0,caption,1,dt4mid-phobert,0,40,42,threads,test,40,0
ocr/dt4mid-caption,13,0.3939393939393939,0,,True,0,caption,1,dt4mid-phobert,0,33,42,threads,test,33,1
ocr/dt4mid-caption,0,,1,0.3333333333333333,True,1,caption,0,dt4mid-phobert,3,0,42,threads,test,3,0
ocr/dt4mid-caption,19,0.95,0,,False,0,caption,1,dt4mid-phobert,0,20,42,threads,test,20,0
ocr/dt4mid-caption,2,0.11764705882352941,0,,False,0,caption,1,dt4mid-phobert,0,17,42,facebook,test,17,1
ocr/dt4mid-caption,4,0.36363636363636365,0,,True,1,caption,1,dt4mid-phobert,0,11,42,threads,test,11,0
ocr/dt4mid-caption,2,0.1111111111111111,0,,True,0,caption,1,dt4mid-phobert,0,18,42,facebook,test,18,1
ocr/dt4mid-caption,0,,6,0.4,True,0,caption,0,dt4mid-phobert,15,0,42,threads,test,15,1
ocr/dt4mid-caption,0,,6,0.8571428571428571,True,1,caption,0,dt4mid-phobert,7,0,42,facebook,test,7,0
ocr/dt4mid-caption,5,0.7142857142857143,0,,True,1,caption,1,dt4mid-phobert,0,7,42,threads,test,7,1
ocr/dt4mid-caption,0,,4,0.6666666666666666,True,0,caption,0,dt4mid-phobert,6,0,42,facebook,test,6,1
ocr/dt4mid-caption,0,0.0,0,,False,1,caption,1,dt4mid-phobert,0,3,42,facebook,test,3,1
ocr/dt4mid-caption,0,,2,0.5,False,0,caption,0,dt4mid-phobert,4,0,42,threads,test,4,1
ocr/dt4mid-caption,0,,0,0.0,False,0,caption,0,dt4mid-phobert,1,0,42,facebook,test,1,1
ocr/dt4mid-caption-ocr,0,,35,0.5147058823529411,True,0,caption_ocr,0,dt4mid-phobert,68,0,123,facebook,test,68,0
ocr/dt4mid-caption-ocr,13,0.7222222222222222,0,,False,0,caption_ocr,1,dt4mid-phobert,0,18,123,threads,test,18,1
ocr/dt4mid-caption-ocr,7,0.1346153846153846,0,,True,1,caption_ocr,1,dt4mid-phobert,0,52,123,facebook,test,52,0
ocr/dt4mid-caption-ocr,0,,36,0.20930232558139536,True,0,caption_ocr,0,dt4mid-phobert,172,0,123,threads,test,172,0
ocr/dt4mid-caption-ocr,0,,14,0.11475409836065574,False,0,caption_ocr,0,dt4mid-phobert,122,0,123,threads,test,122,0
ocr/dt4mid-caption-ocr,0,,13,0.8125,False,0,caption_ocr,0,dt4mid-phobert,16,0,123,facebook,test,16,0
ocr/dt4mid-caption-ocr,2,0.6666666666666666,0,,True,1,caption_ocr,1,dt4mid-phobert,0,3,123,facebook,test,3,1
ocr/dt4mid-caption-ocr,18,0.35294117647058826,0,,True,0,caption_ocr,1,dt4mid-phobert,0,51,123,facebook,test,51,0
ocr/dt4mid-caption-ocr,11,0.22448979591836735,0,,False,0,caption_ocr,1,dt4mid-phobert,0,49,123,facebook,test,49,0
ocr/dt4mid-caption-ocr,22,0.55,0,,True,0,caption_ocr,1,dt4mid-phobert,0,40,123,threads,test,40,0
ocr/dt4mid-caption-ocr,14,0.42424242424242425,0,,True,0,caption_ocr,1,dt4mid-phobert,0,33,123,threads,test,33,1
ocr/dt4mid-caption-ocr,0,,2,0.6666666666666666,True,1,caption_ocr,0,dt4mid-phobert,3,0,123,threads,test,3,0
ocr/dt4mid-caption-ocr,12,0.6,0,,False,0,caption_ocr,1,dt4mid-phobert,0,20,123,threads,test,20,0
ocr/dt4mid-caption-ocr,2,0.11764705882352941,0,,False,0,caption_ocr,1,dt4mid-phobert,0,17,123,facebook,test,17,1
ocr/dt4mid-caption-ocr,5,0.45454545454545453,0,,True,1,caption_ocr,1,dt4mid-phobert,0,11,123,threads,test,11,0
ocr/dt4mid-caption-ocr,5,0.2777777777777778,0,,True,0,caption_ocr,1,dt4mid-phobert,0,18,123,facebook,test,18,1
ocr/dt4mid-caption-ocr,0,,8,0.5333333333333333,True,0,caption_ocr,0,dt4mid-phobert,15,0,123,threads,test,15,1
ocr/dt4mid-caption-ocr,0,,3,0.42857142857142855,True,1,caption_ocr,0,dt4mid-phobert,7,0,123,facebook,test,7,0
ocr/dt4mid-caption-ocr,4,0.5714285714285714,0,,True,1,caption_ocr,1,dt4mid-phobert,0,7,123,threads,test,7,1
