ci_high,ci_low,f1_mean,f1_sd,n,num_seeds,seeds,split,study,subset
0.7110247077654223,0.6516828280972815,0.6818797103069318,0.007656176950743048,736,3,"42,123,2026",test,phobert-base/phobert-caption,full
0.6835542065217018,0.6108514237661108,0.6474803482373958,0.012487765733941418,486,3,"42,123,2026",test,phobert-base/phobert-caption,ocr_present
0.7983905960532711,0.697856917948784,0.7488214804770914,0.007560211490727058,250,3,"42,123,2026",test,phobert-base/phobert-caption,ocr_absent
0.598722638423511,0.5317948578006456,0.5654858633864678,0.0048819026734603,736,3,"42,123,2026",test,phobert-base/phobert-ocr,full
0.6352114550538688,0.5565676184135875,0.5961966685857664,0.007610227192913111,486,3,"42,123,2026",test,phobert-base/phobert-ocr,ocr_present
0.3872549019607843,0.3386243386243386,0.3638676844783715,0.0,250,3,"42,123,2026",test,phobert-base/phobert-ocr,ocr_absent
0.7293918056325144,0.6706245077188334,0.7004997293376428,0.012469726369982568,736,3,"42,123,2026",test,phobert-base/phobert-caption-ocr,full
0.7012926722590272,0.6292036839716595,0.6660711258525547,0.016288422599011025,486,3,"42,123,2026",test,phobert-base/phobert-caption-ocr,ocr_present
0.8117479986112095,0.711093596415529,0.7631172606816241,0.013662274170406519,250,3,"42,123,2026",test,phobert-base/phobert-caption-ocr,ocr_absent
0.7016350457689714,0.6420142107230118,0.6723545388156821,0.013886290798732466,736,3,"42,123,2026",test,dt4mid/dt4mid-caption,full
0.6825224183968546,0.6103711952628518,0.6474690053349349,0.01716093213969832,486,3,"42,123,2026",test,dt4mid/dt4mid-caption,ocr_present
0.7689367821421969,0.6657186425747473,0.7184220568394442,0.012528075461310975,250,3,"42,123,2026",test,dt4mid/dt4mid-caption,ocr_absent
0.6987945979652533,0.6434583728658773,0.671688379809563,0.00829730810788951,736,3,"42,123,2026",test,dt4mid/dt4mid-caption-ocr,full
0.6699574738401349,0.602765250462166,0.6373190443388274,0.020893307543798298,486,3,"42,123,2026",test,dt4mid/dt4mid-caption-ocr,ocr_present
0.7807236179433321,0.6851012064118437,0.7345406079339417,0.01326549489847739,250,3,"42,123,2026",test,dt4mid/dt4mid-caption-ocr,ocr_absent
0.6590628986873731,0.5562267491450406,0.6095612674294648,0.003610889224798113,291,3,"42,123,2026",source_test,platform/phobert-facebook-source,full
0.5179022373235904,0.43653690882134705,0.4776989031410497,0.04388240371573512,445,3,"42,123,2026",target_test,platform/phobert-facebook-source,full
0.6476593871837815,0.5656331402330431,0.6070508708131898,0.021024774855207377,445,3,"42,123,2026",source_test,platform/phobert-threads-source,full
0.5725209814124055,0.4722897146134887,0.5244944414655689,0.04749942685352624,291,3,"42,123,2026",target_test,platform/phobert-threads-source,full
0.5753057351038674,0.48607612267512695,0.530869090635539,0.0863076739647247,291,3,"42,123,2026",source_test,platform/dt4mid-facebook-source,full
0.3462760437621384,0.2848079190017362,0.3158604209434646,0.08620732680988036,445,3,"42,123,2026",target_test,platform/dt4mid-facebook-source,full
0.6343815317783122,0.5590819850496315,0.5974955517397237,0.04773254930779976,445,3,"42,123,2026",source_test,platform/dt4mid-threads-source,full
0.517990798632931,0.43576490752349745,0.4772944097349745,0.036991121963266836,291,3,"42,123,2026",target_test,platform/dt4mid-threads-source,full
